,DATE,kg_avg_price,fe_doy_sin,fe_doy_cos,fe_doy2_sin,fe_doy2_cos,fe_week_sin,fe_week_cos,fe_summer_ind,fe_stage_spring_facility,fe_stage_spring_openfield,fe_stage_semi_highland_1,fe_stage_highland,fe_stage_semi_highland_2,fe_stage_autumn
2708,2019-12-28,767.4539513645161,-0.0558787569053731,0.9984375616565666,-0.1115828995860015,0.9937551290534204,-0.9749279121818236,-0.2225209339563146,0.0111089965382423,0,0,0,0,0,1
2709,2019-12-30,841.0912906610703,-0.0215013727408137,0.999768818762748,-0.0429928040537219,0.9990753819405211,0.0,1.0,0.0097126998429016,0,0,0,0,0,1
2710,2019-12-31,843.0375038598659,-0.0043005927029819,0.9999907524084426,-0.0086011058657144,0.999963009804806,0.7818314824680298,0.6234898018587336,0.0090750878156515,0,0,0,0,0,1
2711,2020-01-03,782.2895727649262,0.0515843668694083,0.9986686402879996,0.1030313790431787,0.9946781061893646,-0.433883739117558,-0.9009688679024191,0.0072532058010343,0,0,0,0,0,0
2712,2020-01-04,771.7963306367299,0.0687554084811394,0.9976335468520452,0.1371854040566005,0.9905453876091832,-0.9749279121818236,-0.2225209339563146,0.0067628442633904,0,0,0,0,0,0
2713,2020-01-06,802.923908274559,0.1030313790431787,0.9946781061893646,0.2049661139694953,0.9787690698649216,0.0,1.0,0.0058706306788869,0,0,0,0,0,0
2714,2020-01-07,826.1849724379983,0.1201261651823505,0.9927586335250792,0.2385125751940764,0.9711394088771652,0.7818314824680298,0.6234898018587336,0.0054656365237319,0,0,0,0,0,0
2715,2020-01-08,682.5166821230315,0.1371854040566005,0.9905453876091832,0.2717767384711357,0.9623603298276544,0.9749279121818236,-0.2225209339563143,0.0050860692310127,0,0,0,0,0,0
2716,2020-01-09,710.13211273115,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676,0.4338837391175582,-0.900968867902419,0.0047305247785057,0,0,0,0,0,0
2717,2020-01-10,746.7078924814941,0.1711770596101998,0.985240282501282,0.3373010691361842,0.9413968285264122,-0.433883739117558,-0.9009688679024191,0.0043976626339341,0,0,0,0,0,0
2718,2020-01-11,673.1958901349809,0.1880994176117975,0.9821499931752292,0.3694836834473831,0.9292372181882051,-0.9749279121818236,-0.2225209339563146,0.0040862038707351,0,0,0,0,0,0
2719,2020-01-13,688.2888167714689,0.2217721575564818,0.975098513039961,0.4324994021339788,0.901634220265486,0.0,1.0,0.0035226774101574,0,0,0,0,0,0
